Rank,Club,Country,Level,Elo,From,To
None,Trnava,SLK,0,1333.72814941,2026-01-01,2026-07-22
None,Kayseri,TUR,1,1333.65478516,2026-05-18,2026-08-29
None,Wolfsberg,AUT,1,1333.65039062,2026-05-20,2026-08-02
None,Zilina,SLK,0,1333.45056152,2026-07-17,2026-07-23
None,H Tel Aviv,ISR,1,1333.1138916,2026-05-24,2026-07-23
None,Osijek,CRO,1,1330.08520508,2026-05-23,2026-08-29
None,Antalyaspor,TUR,1,1328.71740723,2026-05-18,2026-08-29
None,Teplice,CZE,1,1328.13952637,2026-05-24,2026-07-25
None,LNZ,UKR,0,1325.7130127,2026-06-10,2026-07-23
None,Fatih Karaguemruek,TUR,1,1325.40686035,2026-05-17,2026-08-29
None,Arka,POL,1,1323.94714355,2026-05-24,2026-08-29
None,Zira,AZE,0,1319.08618164,2026-07-17,2026-07-23
None,Olimpija Ljubljana,SVN,1,1317.77832031,2026-07-19,2026-08-29
None,Willem II,NED,1,1317.28881836,2026-07-03,2026-08-08
None,Den Haag,NED,1,1317.28881836,2026-07-03,2026-08-08
None,Cambuur,NED,1,1317.28881836,2026-07-03,2026-08-07
None,Asteras Tripolis,GRE,1,1313.69946289,2026-05-22,2026-08-29
None,Shamrock,IRL,0,1313.01416016,2026-07-22,2026-08-29
None,CSKA 1948 Sofia,BUL,1,1312.79211426,2026-07-18,2026-07-22
None,Neftchi,AZE,0,1312.18469238,2026-07-03,2026-07-22
None,Sabah,AZE,0,1311.19018555,2026-07-22,2026-08-29
None,Zuerich,SUI,1,1307.39770508,2026-05-17,2026-07-26
None,UTA Arad,ROM,1,1305.11437988,2026-07-19,2026-07-24
None,Nieciecza,POL,1,1304.40112305,2026-05-24,2026-08-29
None,Ried,AUT,1,1301.83740234,2026-05-26,2026-08-02
None,HNK Gorica,CRO,1,1300.91821289,2026-05-24,2026-08-29
None,Altach,AUT,1,1298.19055176,2026-05-17,2026-08-02
None,Sochi,RUS,1,1297.66748047,2026-03-15,2026-08-29
None,Kilmarnock,SCO,1,1297.11791992,2026-05-18,2026-08-29
None,Kuopio,FIN,0,1296.51403809,2026-07-22,2026-08-29
None,Otelul Galati,ROM,1,1296.07861328,2026-07-19,2026-07-24
None,Amiens,FRA,2,1295.50170898,2026-05-31,2026-08-29
None,Bravo,SVN,1,1294.92614746,2026-07-19,2026-07-23
None,Start,NOR,1,1294.83154297,2026-07-19,2026-07-25
None,Kairat,KAZ,0,1294.38867188,2026-07-16,2026-07-22
None,Noah,ARM,0,1294.14257812,2026-02-27,2026-07-23
None,Viitorul,ROM,1,1293.85339355,2026-07-20,2026-08-29
None,Panetolikos,GRE,1,1292.25976562,2026-05-22,2026-08-29
None,Wattens,AUT,1,1292.03271484,2026-05-17,2026-08-01
None,Ujpest,HUN,1,1291.93554688,2026-05-17,2026-08-29
None,Aalesund,NOR,1,1291.39440918,2026-07-17,2026-07-26
None,Istra 1961,CRO,1,1291.16699219,2026-05-24,2026-08-29
None,Tescoma Zlin,CZE,1,1290.1361084,2026-05-24,2026-07-25
None,Grasshoppers,SUI,1,1289.90795898,2026-05-19,2026-07-25
None,Kifisias,GRE,1,1289.77783203,2026-05-22,2026-08-29
None,Novi Sad,SRB,1,1288.29553223,2026-07-20,2026-07-23
None,Brommapojkarna,SWE,1,1286.93859863,2026-07-18,2026-07-26
None,Dundee United,SCO,1,1286.71264648,2026-05-18,2026-08-29
None,Pyunik,ARM,0,1286.7109375,2026-07-17,2026-07-23
None,Nyiregyhaza,HUN,1,1285.84594727,2026-05-16,2026-08-29
None,Vikingur,ISL,0,1285.12316895,2026-07-22,2026-08-29
None,FK Riga,LAT,0,1283.32739258,2026-07-15,2026-07-22
None,MTK,HUN,1,1283.06347656,2026-05-16,2026-08-29
None,Zrinjski Mostar,BHZ,0,1283.0456543,2026-02-27,2026-07-23
None,Slaven Belupo,CRO,1,1282.4810791,2026-05-23,2026-08-29
None,Vaduz,LIE,0,1280.60302734,2026-02-27,2026-07-23
None,GAK,AUT,1,1279.8104248,2026-05-17,2026-07-31
None,Cherno More,BUL,1,1279.59619141,2026-07-20,2026-07-26
None,St Patricks,IRL,0,1278.34521484,2026-01-01,2026-08-29
None,Botosani,ROM,1,1277.43054199,2026-07-18,2026-08-29
None,Tobol,KAZ,0,1273.34179688,2026-07-03,2026-07-23
None,Halmstad,SWE,1,1272.30566406,2026-07-20,2026-07-26
None,Degerfors,SWE,1,1271.91052246,2026-07-20,2026-07-25
None,Netanya,ISR,1,1271.08190918,2026-05-19,2026-08-29
None,Falkirk,SCO,1,1270.04736328,2026-05-17,2026-08-29
None,Aarau,SUI,1,1267.46691895,2026-05-19,2026-08-29
None,Csikszereda,ROM,1,1267.13671875,2026-07-21,2026-07-26
None,Petrolul Ploiesti,ROM,1,1266.38818359,2026-07-20,2026-08-29
None,Dundee,SCO,1,1266.15893555,2026-05-18,2026-08-29
None,Vaesteras,SWE,1,1264.99938965,2026-07-18,2026-07-24
None,Arda,BUL,1,1262.61499023,2026-07-19,2026-07-24
None,Kisvarda,HUN,1,1261.06713867,2026-05-17,2026-08-29
None,NFC Volos,GRE,1,1259.16870117,2026-05-18,2026-08-29
None,Aberdeen,SCO,1,1258.1998291,2026-05-18,2026-08-29
None,Oergryte,SWE,1,1257.30456543,2026-07-21,2026-07-24
None,HJK Helsinki,FIN,0,1246.64978027,2026-02-27,2026-07-23
None,Ararat,ARM,0,1246.33862305,2026-07-22,2026-08-29
None,Kalmar,SWE,1,1246.30627441,2026-07-21,2026-07-25
None,Lustenau,AUT,1,1243.68847656,2026-07-03,2026-08-02
None,St Mirren,SCO,1,1243.31494141,2026-05-18,2026-08-29
None,Drita,KOS,0,1242.50073242,2026-07-22,2026-08-29
None,Larisa,GRE,1,1241.21716309,2026-05-22,2026-08-29
None,Shelbourne,IRL,0,1240.87084961,2026-01-01,2026-07-23
None,Zeleznicar Pancevo,SRB,1,1240.40429688,2026-07-18,2026-07-22
None,Diosgyori,HUN,1,1237.07165527,2026-05-17,2026-08-29
None,Derry City,IRL,0,1233.97900391,2026-07-17,2026-07-23
None,Botev Plovdiv,BUL,1,1233.97180176,2026-07-21,2026-08-29
None,Winterthur,SUI,1,1232.13244629,2026-05-17,2026-08-29
None,Hapoel Jerusalem,ISR,1,1230.98950195,2026-05-19,2026-08-29
None,Hapoel Haifa,ISR,1,1230.6484375,2026-05-19,2026-08-29
None,Stjarnan,ISL,0,1230.38879395,2026-07-17,2026-07-23
None,Bnei Sakhinin,ISR,1,1229.75512695,2026-05-19,2026-08-29
None,H Petach Tikva,ISR,1,1228.65100098,2026-05-24,2026-08-29
None,Velez Mostar,BHZ,0,1227.04248047,2026-07-17,2026-07-23
None,Shkendija,MAC,0,1226.55493164,2026-07-17,2026-07-23
None,Panserraikos,GRE,1,1226.01782227,2026-05-22,2026-08-29
None,Voluntari,ROM,1,1223.70605469,2026-07-18,2026-08-29
None,Corvinul Hunedoara,ROM,1,1223.70605469,2026-07-21,2026-08-29
None,Sepsi,ROM,1,1223.70605469,2026-07-21,2026-07-26
None,RFS,LAT,0,1221.79467773,2026-07-17,2026-08-29
None,Ironi Tiberias,ISR,1,1212.53625488,2026-05-19,2026-08-29
None,Valur,ISL,0,1211.37255859,2026-01-01,2026-07-23
None,FK Sarajevo,BHZ,0,1211.23156738,2026-07-17,2026-08-29
None,Borac Banja Luka,BHZ,0,1210.83227539,2026-07-15,2026-07-23
None,Lok Plovdiv,BUL,1,1205.97167969,2026-07-19,2026-07-26
None,Ilves Tampere,FIN,0,1205.37280273,2026-07-17,2026-07-23
None,Dinamo Minsk,BLR,0,1202.69592285,2026-07-17,2026-07-22
None,Inter Turku,FIN,0,1202.63513184,2026-07-17,2026-07-22
None,BATE,BLR,0,1202.37768555,2026-01-01,2026-07-23
None,Kiryat Shmona,ISR,1,1201.35681152,2026-05-19,2026-08-29
None,Alashkert,ARM,0,1199.71240234,2026-07-03,2026-07-23
None,Slavia Sofia,BUL,1,1199.17602539,2026-07-21,2026-07-24
None,OFK,SRB,1,1199.15283203,2026-07-20,2026-08-29
None,Cukaricki,SRB,1,1198.3515625,2026-07-20,2026-08-29
None,Olexandriya,UKR,1,1197.18640137,2026-06-10,2026-08-29
None,Novi Pazar,SRB,1,1194.02624512,2026-07-19,2026-08-29
None,Livyi Bereh,UKR,1,1193.79016113,2026-06-10,2026-08-29
None,Lok Sofia,BUL,1,1193.53759766,2026-07-21,2026-07-25
None,Brno,CZE,1,1192.71350098,2026-07-03,2026-07-25
None,Klaksvik,FAR,0,1189.47131348,2026-07-22,2026-08-29
None,Kragujevac,SRB,1,1187.92358398,2026-07-19,2026-08-29
None,Liepajas,LAT,0,1187.7734375,2026-07-16,2026-07-23
None,Ballkani,KOS,0,1185.13781738,2026-07-17,2026-07-22
None,Dinamo Tirana,ALB,0,1183.72375488,2026-07-17,2026-07-23
None,Auda,LAT,0,1179.07128906,2026-01-01,2026-07-23
None,Ashdod,ISR,1,1172.46374512,2026-05-19,2026-08-29
None,Kazincbarcika,HUN,1,1168.09179688,2026-05-16,2026-08-29
None,Zalgiris Vilnius,LIT,0,1167.50366211,2026-07-17,2026-07-23
None,IMT,SRB,1,1167.2331543,2026-07-20,2026-08-29
None,Botev Vratsa,BUL,1,1165.69091797,2026-07-20,2026-07-25
None,Livingston,SCO,1,1163.26220703,2026-05-18,2026-08-29
None,Torpedo Kutaisi,GEO,0,1159.65441895,2026-07-17,2026-08-29
None,Radnik Surdulica,SRB,1,1159.57324219,2026-07-20,2026-08-29
None,Petrocub,MOL,0,1159.45910645,2026-07-16,2026-07-23
None,Partizani Tirana,ALB,0,1158.83312988,2026-01-01,2026-08-29
None,Egnatia,ALB,0,1157.89331055,2026-07-16,2026-07-22
None,Dinamo Tbilisi,GEO,0,1153.70239258,2026-07-03,2026-07-23
None,Dila Gori,GEO,0,1149.45703125,2026-07-17,2026-07-23
None,Saburtalo,GEO,0,1149.44433594,2026-07-22,2026-08-29
None,Vllaznia,ALB,0,1145.86279297,2026-07-16,2026-08-29
None,Vukovar,CRO,1,1141.32226562,2026-05-23,2026-08-29
None,Mura,SVN,1,1140.62060547,2026-07-18,2026-08-29
None,Aluminij,SVN,1,1136.16748047,2026-07-20,2026-07-23
None,Mladost Lucani,SRB,1,1133.2512207,2026-07-20,2026-08-29
None,Kauno Zalgiris,LIT,0,1131.27331543,2026-07-22,2026-08-29
None,Flora Tallinn,EST,0,1130.34924316,2026-07-15,2026-07-23
None,Maccabi Bnei Raina,ISR,1,1127.99304199,2026-05-19,2026-08-29
None,Zimbru,MOL,0,1121.74816895,2026-01-01,2026-07-23
None,Nis,SRB,1,1120.0267334,2026-07-18,2026-08-29
None,Hamrun,MLT,0,1116.77966309,2026-07-17,2026-08-29
None,Nafta,SVN,1,1116.73962402,2026-07-18,2026-08-29
None,Panevezys,LIT,0,1114.84375,2026-07-03,2026-07-23
None,Linfield,NIR,0,1112.89929199,2026-07-17,2026-08-29
None,Milsami Orhei,MOL,0,1106.4597168,2026-07-17,2026-08-29
None,Hegelmann,LIT,0,1105.8293457,2026-07-17,2026-08-29
None,Spartak Varna,BUL,1,1099.84106445,2026-07-18,2026-07-26
None,Vardar,MAC,0,1099.73193359,2026-07-15,2026-07-22
None,Decic,MNT,0,1098.27709961,2026-07-16,2026-08-29
None,Septemvri Sofia,BUL,1,1095.19165039,2026-07-19,2026-07-26
None,Sileks,MAC,0,1091.06091309,2026-07-17,2026-08-29
None,Dukagjini,KOS,0,1084.08703613,2026-07-03,2026-07-23
None,Paide Linnameeskond,EST,0,1082.51745605,2026-07-17,2026-07-23
None,Sutjeska,MNT,0,1082.15710449,2026-07-16,2026-08-29
None,Rabotnicki,MAC,0,1081.38427734,2026-02-27,2026-08-29
None,Nomme Kalju,EST,0,1067.46813965,2026-07-17,2026-07-23
None,The New Saints,WAL,0,1066.42773438,2026-07-15,2026-07-23
None,Lincoln,GIB,0,1065.0925293,2026-07-22,2026-08-15
None,Differdang,LUX,0,1064.40563965,2026-07-17,2026-08-29
None,Floriana,MLT,0,1063.39416504,2026-07-22,2026-08-29
None,Larne,NIR,0,1059.32751465,2026-07-22,2026-08-29
None,Valletta,MLT,0,1058.54980469,2026-07-03,2026-07-23
None,Marsaxlokk,MLT,0,1058.54980469,2026-07-17,2026-08-29
None,Glentoran,NIR,0,1056.44763184,2026-07-17,2026-08-29
None,Coleraine,NIR,0,1056.44763184,2026-07-03,2026-07-23
None,R Letzebuerg,LUX,0,1055.80236816,2026-01-01,2026-08-29
None,Malisheva,KOS,0,1053.15783691,2026-07-16,2026-07-23
None,Dunav Ruse,BUL,1,1051.70751953,2026-07-18,2026-08-29
None,FC Infonet,EST,0,1050.10693359,2026-07-22,2026-08-29
None,HB Torshavn,FAR,0,1050.02600098,2026-01-01,2026-07-23
None,Zemun,SRB,1,1049.02087402,2026-07-19,2026-08-29
None,Macva Sabac,SRB,1,1049.02087402,2026-07-18,2026-08-29
None,Una Strassen,LUX,0,1047.87158203,2026-07-15,2026-07-23
None,Petrovac,MNT,0,1045.57641602,2026-07-17,2026-08-29
None,Mornar,MNT,0,1045.57641602,2026-07-17,2026-08-29
None,Runavik,FAR,0,1039.27258301,2026-07-17,2026-07-23
None,Dudelange,LUX,0,1035.68371582,2026-01-01,2026-08-29
None,Gota,FAR,0,1033.25927734,2026-07-17,2026-08-29
None,Escaldes,AND,0,1002.06817627,2026-07-15,2026-08-29
None,Penybont,WAL,0,988.081848145,2026-07-17,2026-08-29
None,Caernarfon Town,WAL,0,969.859069824,2026-07-17,2026-08-29
None,Connahs Quay,WAL,0,969.859069824,2026-07-17,2026-08-29
None,St Josephs,GIB,0,968.097045898,2026-07-17,2026-08-29
None,College Europa,GIB,0,955.99798584,2026-07-17,2026-08-29
None,Santa Coloma,AND,0,954.305236816,2026-07-17,2026-07-23
None,Atletic Club Escaldes,AND,0,944.222595215,2026-07-17,2026-07-23
None,SS Virtus,SMR,0,767.627746582,2026-07-17,2026-08-29
None,Tre Fiori,SMR,0,736.193237305,2026-07-15,2026-08-29
None,La Fiorita,SMR,0,716.190124512,2026-07-15,2026-08-29


